date,month,hour,dayOfTheWeek,site1_utilization,site2_utilization,site1_utilization_percentage,site2_utilization_percentage,temperature,precipitation
2018-01-13,1,16,5,0,0,0.0,0.0,26.0,0.0
2018-01-13,1,17,5,0,0,0.0,0.0,22.0,0.0
2018-01-13,1,18,5,0,0,0.0,0.0,19.0,0.0
2018-01-13,1,19,5,0,0,0.0,0.0,17.0,0.0
2018-01-13,1,20,5,0,0,0.0,0.0,16.0,0.0
2018-01-13,1,21,5,0,0,0.0,0.0,15.0,0.0
2018-01-13,1,22,5,0,0,0.0,0.0,15.0,0.0
2018-01-13,1,23,5,0,0,0.0,0.0,14.0,0.0
2018-01-14,1,0,6,0,0,0.0,0.0,13.0,0.0
2018-01-14,1,1,6,0,0,0.0,0.0,12.0,0.0
2018-01-14,1,2,6,0,0,0.0,0.0,12.0,0.0
2018-01-14,1,3,6,0,0,0.0,0.0,11.0,0.0
2018-01-14,1,4,6,0,0,0.0,0.0,12.0,0.0
2018-01-14,1,5,6,0,0,0.0,0.0,12.0,0.0
2018-01-14,1,6,6,0,0,0.0,0.0,13.0,0.0
2018-01-14,1,7,6,0,0,0.0,0.0,14.0,0.0
2018-01-14,1,8,6,0,0,0.0,0.0,16.0,0.0
2018-01-14,1,9,6,0,0,0.0,0.0,21.0,0.0
2018-01-14,1,10,6,0,0,0.0,0.0,23.0,0.0
2018-01-14,1,11,6,0,0,0.0,0.0,24.0,0.0
2018-01-14,1,12,6,0,0,0.0,0.0,26.0,0.0
2018-01-14,1,13,6,0,0,0.0,0.0,26.0,0.0
2018-01-14,1,14,6,0,0,0.0,0.0,27.0,0.0
2018-01-14,1,15,6,0,0,0.0,0.0,27.0,0.0
2018-01-14,1,16,6,0,0,0.0,0.0,25.0,0.0
2018-01-14,1,17,6,0,0,0.0,0.0,23.0,0.0
2018-01-14,1,18,6,0,0,0.0,0.0,19.0,0.0
2018-01-14,1,19,6,0,0,0.0,0.0,18.0,0.0
2018-01-14,1,20,6,0,0,0.0,0.0,16.0,0.0
2018-01-14,1,21,6,0,0,0.0,0.0,17.0,0.0
2018-01-14,1,22,6,0,0,0.0,0.0,16.0,0.0
2018-01-14,1,23,6,0,0,0.0,0.0,14.0,0.0
2018-01-15,1,0,0,0,0,0.0,0.0,13.0,0.0
2018-01-15,1,1,0,0,0,0.0,0.0,13.0,0.0
2018-01-15,1,2,0,0,0,0.0,0.0,12.0,0.0
2018-01-15,1,3,0,0,0,0.0,0.0,10.0,0.0
2018-01-15,1,4,0,0,0,0.0,0.0,11.0,0.0
2018-01-15,1,5,0,0,0,0.0,0.0,9.0,0.0
2018-01-15,1,6,0,0,0,0.0,0.0,10.0,0.0
2018-01-15,1,7,0,0,0,0.0,0.0,11.0,0.0
2018-01-15,1,8,0,0,0,0.0,0.0,14.0,0.0
2018-01-15,1,9,0,0,0,0.0,0.0,18.0,0.0
2018-01-15,1,10,0,0,0,0.0,0.0,20.0,0.0
2018-01-15,1,11,0,0,0,0.0,0.0,22.0,0.0
2018-01-15,1,12,0,0,0,0.0,0.0,23.0,0.0
2018-01-15,1,13,0,0,0,0.0,0.0,23.0,0.0
2018-01-15,1,14,0,0,0,0.0,0.0,22.0,0.0
2018-01-15,1,15,0,0,0,0.0,0.0,21.0,0.0
2018-01-15,1,16,0,0,0,0.0,0.0,20.0,0.0
2018-01-15,1,17,0,0,0,0.0,0.0,18.0,0.0
2018-01-15,1,18,0,0,0,0.0,0.0,18.0,0.0
2018-01-15,1,19,0,0,0,0.0,0.0,18.0,0.0
2018-01-15,1,20,0,0,0,0.0,0.0,17.0,0.0
2018-01-15,1,21,0,0,0,0.0,0.0,16.0,0.0
2018-01-15,1,22,0,0,0,0.0,0.0,14.0,0.0
2018-01-15,1,23,0,0,0,0.0,0.0,14.0,0.0
2018-01-16,1,0,1,0,0,0.0,0.0,13.0,0.0
2018-01-16,1,1,1,0,0,0.0,0.0,13.0,0.0
2018-01-16,1,2,1,0,0,0.0,0.0,12.0,0.0
2018-01-16,1,3,1,0,0,0.0,0.0,12.0,0.0
2018-01-16,1,4,1,0,0,0.0,0.0,11.0,0.0
2018-01-16,1,5,1,0,0,0.0,0.0,11.0,0.0
2018-01-16,1,6,1,0,0,0.0,0.0,11.0,0.0
2018-01-16,1,7,1,0,0,0.0,0.0,12.0,0.0
2018-01-16,1,8,1,0,0,0.0,0.0,14.0,0.0
2018-01-16,1,9,1,0,0,0.0,0.0,16.0,0.0
2018-01-16,1,10,1,0,0,0.0,0.0,18.0,0.0
2018-01-16,1,11,1,0,0,0.0,0.0,20.0,0.0
2018-01-16,1,12,1,0,0,0.0,0.0,21.0,0.0
2018-01-16,1,13,1,0,0,0.0,0.0,22.0,0.0
2018-01-16,1,14,1,0,0,0.0,0.0,22.0,0.0
2018-01-16,1,15,1,0,0,0.0,0.0,21.0,0.0
2018-01-16,1,16,1,0,0,0.0,0.0,19.0,0.0
2018-01-16,1,17,1,0,0,0.0,0.0,19.0,0.0
2018-01-16,1,18,1,0,0,0.0,0.0,17.0,0.0
2018-01-16,1,19,1,0,0,0.0,0.0,17.0,0.0
2018-01-16,1,20,1,0,0,0.0,0.0,16.0,0.0
2018-01-16,1,21,1,0,0,0.0,0.0,15.0,0.0
2018-01-16,1,22,1,0,0,0.0,0.0,14.0,0.0
2018-01-16,1,23,1,0,0,0.0,0.0,14.0,0.0
2018-01-17,1,0,2,0,0,0.0,0.0,14.0,0.0
2018-01-17,1,1,2,0,0,0.0,0.0,13.0,0.0
2018-01-17,1,2,2,0,0,0.0,0.0,12.0,0.0
2018-01-17,1,3,2,0,0,0.0,0.0,11.0,0.0
2018-01-17,1,4,2,0,0,0.0,0.0,10.0,0.0
2018-01-17,1,5,2,0,0,0.0,0.0,11.0,0.0
2018-01-17,1,6,2,0,0,0.0,0.0,10.0,0.0
2018-01-17,1,7,2,0,0,0.0,0.0,13.0,0.0
2018-01-17,1,8,2,0,0,0.0,0.0,17.0,0.0
2018-01-17,1,9,2,0,0,0.0,0.0,20.0,0.0
2018-01-17,1,10,2,0,0,0.0,0.0,22.0,0.0
2018-01-17,1,11,2,0,0,0.0,0.0,23.0,0.0
2018-01-17,1,12,2,0,0,0.0,0.0,25.0,0.0
2018-01-17,1,13,2,0,0,0.0,0.0,26.0,0.0
2018-01-17,1,14,2,0,0,0.0,0.0,27.0,0.0
2018-01-17,1,15,2,0,0,0.0,0.0,26.0,0.0
2018-01-17,1,16,2,0,0,0.0,0.0,23.0,0.0
2018-01-17,1,17,2,0,0,0.0,0.0,21.0,0.0
2018-01-17,1,18,2,0,0,0.0,0.0,19.0,0.0
2018-01-17,1,19,2,0,0,0.0,0.0,18.0,0.0
2018-01-17,1,20,2,0,0,0.0,0.0,18.0,0.0
2018-01-17,1,21,2,0,0,0.0,0.0,17.0,0.0
2018-01-17,1,22,2,0,0,0.0,0.0,16.0,0.0
2018-01-17,1,23,2,0,0,0.0,0.0,16.0,0.0
2018-01-18,1,0,3,0,0,0.0,0.0,14.0,0.0
2018-01-18,1,1,3,0,0,0.0,0.0,16.0,0.0
2018-01-18,1,2,3,0,0,0.0,0.0,14.0,0.0
2018-01-18,1,3,3,0,0,0.0,0.0,14.0,0.0
2018-01-18,1,4,3,0,0,0.0,0.0,13.0,0.0
